"","featurekey","Module"
"893","ASAP1",5
"894","PLCL1",8
"895","COBLL1",5
"896","GAS7",5
"897","LPL",5
"898","MRPL18",2
"899","SLC4A7",11
"900","SNX3",2
"901","TMTC1",6
"902","MAML2",2
"903","TDRD9",6
"904","PPID",2
"906","INSIG2",9
"907","METRNL",4
"908","HJURP",3
"909","AKT3",8
"910","STIL",3
"911","ACTB",1
"912","PTPRB",11
"913","DENND4C",6
"914","NFATC2",7
"916","THBD",4
"917","NEK10",2
"918","DEPDC1",3
"919","ANXA2",6
"920","RAD51AP1",3
"921","CHEK1",3
"923","FNBP1",5
"924","GPCPD1",6
"925","SOCS3",4
"926","CD69",10
"927","ARHGAP12",7
"928","IL1R1",6
"929","SLC8A1",8
"930","ZBTB20",8
"931","LPP",5
"932","MARCHF3",8
"933","SPIDR",5
"934","MTHFD1L",8
"935","FANCA",3
"936","PHF21A",4
"937","RLF",9
"938","TBC1D4",8
"939","WNT5B",2
"941","CBLB",6
"942","H1-2",10
"943","CHD9",7
"944","KANSL1L",2
"945","PSTPIP2",7
"946","C17orf67",2
"947","SULT1C2",5
"948","GNAS",2
"949","PLCXD3",8
"951","TRERF1",7
"952","UBE2B",2
"954","RGS10",8
"955","RSAD2",5
"956","CEP55",3
"957","WSB1",10
"958","RASA2",5
"959","MAFB",5
"961","H1-5",10
"962","BROX",11
"964","TMEM51",9
"965","SERINC2",6
"966","MMS22L",3
"968","CA8",8
"970","SRGAP2C",8
"971","ATP8B1",11
"972","RAD54L",3
"973","GUCY1A1",8
"974","TCF19",3
"975","CD81",1
"976","EIF4G3",7
"977","RTN1",7
"978","WDR76",3
"980","RNASE1",5
"982","TNFAIP8L3",10
"985","KLHL25",2
"987","MELK",3
"989","SNCA",2
"990","NOP58",2
"992","AFF1",2
"993","FOSB",10
"994","ATAD5",3
"995","GFOD1",6
"997","SMIM35",8
"998","MAML3",8
"999","VIM",6
"1000","DENND1A",5
